,method,graph_type,planted_k,planted_gamma,bipartite,trial,num_true_positive,num_detected,num_total,time,method_params,detected_density,actual_density
4,densest_subgraph,,7,1.0,False,4,7,596,596,0.08157681624094645,,0.05677908747391574,1.0
5,densest_subgraph,,7,1.0,False,5,7,596,596,0.0722287138303121,,0.05678472731374429,1.0
6,densest_subgraph,,7,1.0,False,6,7,596,596,0.07122828563054402,,0.05677626755400147,1.0
7,densest_subgraph,,7,1.0,False,7,7,596,596,0.07087108294169107,,0.056790367153572836,1.0
8,densest_subgraph,,7,1.0,False,8,7,596,596,0.06947530110677083,,0.05678190739383002,1.0
9,densest_subgraph,,7,1.0,False,9,7,596,596,0.06967939933141072,,0.05677062771417292,1.0
0,densest_subgraph,,8,1.0,False,0,8,596,596,0.07112895250320435,,0.05679882691331566,1.0
1,densest_subgraph,,8,1.0,False,1,8,596,596,0.07329831918080648,,0.05681292651288703,1.0
2,densest_subgraph,,8,1.0,False,2,8,596,596,0.07188654740651448,,0.05682420619254413,1.0
3,densest_subgraph,,8,1.0,False,3,8,596,596,0.07297146717707316,,0.05681010659297276,1.0
4,densest_subgraph,,8,1.0,False,4,8,596,596,0.07189298470815023,,0.05681292651288703,1.0
5,densest_subgraph,,8,1.0,False,5,8,596,596,0.07132064898808797,,0.05682138627262986,1.0
6,densest_subgraph,,8,1.0,False,6,8,596,596,0.07430155277252197,,0.05681292651288703,1.0
7,densest_subgraph,,8,1.0,False,7,8,596,596,0.07118424971898397,,0.05681292651288703,1.0
8,densest_subgraph,,8,1.0,False,8,8,596,596,0.07307151556015015,,0.05681574643280131,1.0
9,densest_subgraph,,8,1.0,False,9,8,596,596,0.07067556381225586,,0.05681574643280131,1.0
0,densest_subgraph,,9,1.0,False,0,9,596,596,0.07768681844075521,,0.056863685071343976,1.0
1,densest_subgraph,,9,1.0,False,1,9,596,596,0.0710720976193746,,0.0568608651514297,1.0
2,densest_subgraph,,9,1.0,False,2,9,596,596,0.07093323469161987,,0.05686650499125825,1.0
3,densest_subgraph,,9,1.0,False,3,9,596,596,0.07214697996775309,,0.05681856635271558,1.0
4,densest_subgraph,,9,1.0,False,4,9,596,596,0.07375001907348633,,0.056863685071343976,1.0
5,densest_subgraph,,9,1.0,False,5,9,596,596,0.07148310343424479,,0.05685804523151543,1.0
6,densest_subgraph,,9,1.0,False,6,9,596,596,0.07488323450088501,,0.056863685071343976,1.0
7,densest_subgraph,,9,1.0,False,7,9,596,596,0.07195508480072021,,0.05684112571202978,1.0
8,densest_subgraph,,9,1.0,False,8,9,596,596,0.07184784809748332,,0.05685804523151543,1.0
9,densest_subgraph,,9,1.0,False,9,9,596,596,0.07031395037968953,,0.05685522531160115,1.0
0,densest_subgraph,,10,1.0,False,0,10,596,596,0.07354001998901367,,0.056874964751001074,1.0
1,densest_subgraph,,10,1.0,False,1,10,596,596,0.07275958061218261,,0.05690034403022954,1.0
2,densest_subgraph,,10,1.0,False,2,10,596,596,0.0761904001235962,,0.05691162370988664,1.0
3,densest_subgraph,,10,1.0,False,3,10,596,596,0.07175163427988689,,0.05690034403022954,1.0
4,densest_subgraph,,10,1.0,False,4,10,596,596,0.07260573705037435,,0.056920083469629464,1.0
5,densest_subgraph,,10,1.0,False,5,10,596,596,0.07214204867680868,,0.05689188427048672,1.0
6,densest_subgraph,,10,1.0,False,6,10,596,596,0.07135560115178426,,0.05689188427048672,1.0
7,densest_subgraph,,10,1.0,False,7,10,596,596,0.07207911411921183,,0.05690316395014382,1.0
8,densest_subgraph,,10,1.0,False,8,10,596,596,0.07386201620101929,,0.05690316395014382,1.0
9,densest_subgraph,,10,1.0,False,9,10,596,596,0.07108771403630575,,0.05688906435057244,1.0
0,densest_subgraph,,11,1.0,False,0,11,596,596,0.07228251695632934,,0.05693418306920083,1.0
1,densest_subgraph,,11,1.0,False,1,11,596,596,0.07018628120422363,,0.05696238226834358,1.0
2,densest_subgraph,,11,1.0,False,2,11,596,596,0.07145540316899618,,0.05695110258868648,1.0
3,densest_subgraph,,11,1.0,False,3,11,596,596,0.07244408130645752,,0.0569708420280864,1.0
4,densest_subgraph,,11,1.0,False,4,11,596,596,0.07140058279037476,,0.05695110258868648,1.0
5,densest_subgraph,,11,1.0,False,5,11,596,596,0.07152243455251057,,0.056953922508600756,1.0
6,densest_subgraph,,11,1.0,False,6,11,596,596,0.07180894613265991,,0.05692854322937228,1.0
7,densest_subgraph,,11,1.0,False,7,11,596,596,0.0711091160774231,,0.05694546274885793,1.0
8,densest_subgraph,,11,1.0,False,8,11,596,596,0.07036598126093546,,0.05694828266877221,1.0
9,densest_subgraph,,11,1.0,False,9,11,596,596,0.07215686639149983,,0.05696238226834358,1.0
0,densest_subgraph,,12,1.0,False,0,12,596,596,0.07109572092692057,,0.05701596074671479,1.0
1,densest_subgraph,,12,1.0,False,1,12,596,596,0.07052316665649414,,0.05700186114714342,1.0
2,densest_subgraph,,12,1.0,False,2,12,596,596,0.07157076199849446,,0.056999041227229146,1.0
3,densest_subgraph,,12,1.0,False,3,12,596,596,0.07112693389256795,,0.05702160058654334,1.0
4,densest_subgraph,,12,1.0,False,4,12,596,596,0.07083768447240193,,0.05700750098697197,1.0
5,densest_subgraph,,12,1.0,False,5,12,596,596,0.07000488042831421,,0.057004681067057694,1.0
6,densest_subgraph,,12,1.0,False,6,12,596,596,0.07157666683197021,,0.056996221307314875,1.0
